"CodProd","DescProd","CodMedEstoque","PrecoMedio"
"10080","CHAPA AÇO INOX AISI 304 - 5,00 x 3000 x 1240mm                                                                          ",Kg   ,"20,809826"
"101",COMUT. MONO. INT. LIN. 5TAPS 25kV 30A - CMIL.5.25.30                                                                    ,Un,"14,386399"
"10166",ARRUELA LISA AÇO POLIDO M20                                                                                             ,Un,"0,223356"
"10167",ARRUELA PRESSÃO AÇO POLIDO M20                                                                                          ,Un,"0,298851"
"10168",ARRUELA LISA AÇO POLIDO M16                                                                                             ,Un,"0,159589"
"10169",ARRUELA PRESSÃO AÇO POLIDO M16                                                                                          ,Un,"0,171912"
"10189",COMUT. BIF. EXT. ROT. 5TAPS 15/25/36kV 40A L47 NBI 170 kV - APA-271-MP-016 ITEM 03                                      ,Un,"36,126970"
"10190",COMUT. MONO. EXT. ROT. 0TAPS 36kV 40A - CMER.0.36.40-SP                                                                 ,Un,"42,855313"
"10192","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm - 223GL-259                                                                  ",Un,"1,478737"
"102",COMUT. MONO. INT. ROT. 5TAPS 25kV 20A - CMIR.5.25.20                                                                    ,Un,"7,920926"
"10231",KIT ACESSÓRIO P/ COMUTADOR                                                                                              ,Un,"1464,530000"
"10232",COMUT. MONO. EXT. LIN. 0TAPS 25kV 40A - CMEL.0.25.40-RE                                                                 ,Un,"32,060000"
"102405","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm ALUMINIO - AFL-537-FE-223                                                    ",Un,"3,730594"
"103",COMUT. MONO. INT. LIN. 7TAPS 25kV 20A - CMIL.7.25.20                                                                    ,Un,"10,676202"
"10302","FIO DE COBRE RETANGULAR 3,0 x 6,0 NÚ                                                                                    ",Kg   ,"11,794000"
"10303","FIO DE COBRE RETANGULAR 3,0 x 5,0 NÚ                                                                                    ",Kg   ,"27,761855"
"10312",FECHADURA INTERNA                                                                                                       ,Un,"20,870000"
"10351",COMUT. TRIF. INT. LIN. 7TAPS 38kV 75A NBI 200 - CTIL.7.38.75-N20                                                        ,Un,"99,132831"
"10398",ARAME P/ SOLDA MIG ALUMINIO 1.00mm                                                                                      ,Kg   ,"63,214100"
"104",COMUT. MONO. INT. ROT. 7TAPS 25kV 20A - CMIR.7.25.20                                                                    ,Un,"9,305639"
"10437",FLANGE PARA BUCHA EPÓXI GALV. FOGO - 143.10-222                                                                         ,Un,"56,532445"
"10450",GUIA DE ÓLEO INTERNO - AER-267-BB-009                                                                                   ,Un,"7,394033"
"10454",ISOLAÇÃO TRANSPOSIÇÃO - AER-253-BB-006                                                                                  ,Un,"0,239087"
"10455",PINO ELÁSTICO DIN 1481 - Ø5 x 60mm                                                                                      ,Un,"1,516560"
"10456","MANTA ACRÍLICA LARGURA 1,5m                                                                                             ",MT   ,"5,747800"
"10470",PINO ELÁSTICO DIN 1481 - Ø6 x 50mm                                                                                      ,Un,"0,499000"
"105",COMUT. TRIF. INT. LIN. 3TAPS 25kV 40A - CTIL.3.25.40                                                                    ,Un,"17,635088"
"10503",CALÇO DE BOBINA C/ CANAL 35 x 40 x 74mm                                                                                 ,Un,
"10505",ISOLAÇÃO TRANSPOSIÇÃO EXTERNA - AER-253-BB-007                                                                          ,Un,"0,220099"
"10510",CALÇO DE BOBINA S/ CANAL 25 x 30 x 90 x 105mm                                                                           ,Un,"1,000000"
"10518",CALÇO DE BOBINA S/ CANAL 25 x 30 x 60 x 70mm                                                                            ,Un,"0,363000"
"106",COMUT. TRIF. INT. LIN. 3TAPS 25kV 75A NBI-150 - CTIL.3.25.75-N15                                                        ,Un,"56,925003"
"10615",TERMINAL DE COMPRESSÃO COBRE ESTANHADO 50mm²                                                                            ,Un,"1,979094"
"10688","PLACA DE IDENT ALUM ANOD 0,8 x 105 x 148mm - 215GL-258/2                                                                ",Un,"2,276000"
"107",COMUT. TRIF. INT. LIN. 3TAPS 36kV 40A - CTIL.3.36.40                                                                    ,Un,"19,557424"
"10727","CORDA SEDA TRANÇADA 1/2""                                                                                                ",M    ,"1,180200"
"10751",FIO ALUMINIO CIRCULAR ESMALTADO 180°C 18 AWG                                                                            ,Kg   ,"25,061465"
"10770","FIO ALUMINIO RETANGULAR 4,0 x 6,0 - C/ 3 V 0,06mm - (0,36mm) - PKT                                                      ",Kg   ,"19,857801"
"108",COMUT. TRIF. INT. LIN. 4TAPS 25kV 40A - CTIL.4.25.40                                                                    ,Un,"23,922992"
"10804","CHAPA AÇO CARBONO ASTM-A36 (FQ5/16) 7,94 x 1500 x 3000mm                                                                ",Kg   ,"4,604477"
"10823","CHAPA AÇO CARBONO LASER ASTM-A36 (FQ08) 4,25 x 1200mm                                                                   ",Kg   ,"1,624750"
"10824","CHAPA AÇO CARBONO ASTM-A36 (FQ1/2) 12,7 x 1200 x 3000mm                                                                 ",Kg   ,"5,685579"
"10871","ARRUELA PAPELÃO BT 3150A - 102 x 46 x 2,0mm 243.14-436 SU                                                               ",Un,"1,570047"
"10874",CALÇO DE BOBINA S/ CANAL 25 x 20 x 45 x 60mm                                                                            ,Un,"0,000000"
"10879",CALÇO SUP/INF NÚCLEO 81 x 83 x 100mm - ANC-231-MN-034                                                                   ,Un,"14,701500"
"10886",CILINDRO BT MOLDE - AER-251-BB-010                                                                                      ,Un,"281,002700"
"109",COMUT. TRIF. INT. LIN. 4TAPS 36kV 40A - CTIL.4.36.40                                                                    ,Un,"18,525154"
"10922",GUIA DE ÓLEO EXTERNO - AER-267-BB-010                                                                                   ,Un,"6,897022"
"10936","PAPEL KRAFT NEUTRO CREPADO 0,09                                                                                         ",Kg   ,"48,331347"
"10996",COMUT. TRIF. EXT. LIN. 7TAPS 25kV 75A NBI 150 - APA-271-MP-002 ITEM 03                                                  ,Un,"201,749917"
"11",ACIONAMENTO COMUTADOR EXTERNO 75A                                                                                       ,Un,"83,889453"
"110",COMUT. TRIF. INT. LIN. 5TAPS 25kV 40A - CTIL.5.25.40                                                                    ,Un,"25,323060"
"11026","BOBINA AÇO SILÍCIO-GO (M4) 0,27 x 800 x 1000mm  (AK)                                                                    ",Kg   ,"5,970000"
"11030",FIO ALUMINIO CIRCULAR ESMALTADO 180°C 23 AWG                                                                            ,Kg   ,"25,720241"
"111",COMUT. TRIF. INT. LIN. 5TAPS 25kV 75A NBI 150 - CTIL.5.25.75-N15                                                        ,Un,"64,150000"
"11174","PAPEL KRAFT TERMOESTABILIZADO 0,06 x 15mm                                                                               ",Kg   ,"50,805094"
"112",COMUT. TRIF. INT. LIN. 5TAPS 36kV 120A DUPLO - CTIL.5.36.120                                                            ,Un,"23,000000"
"113",COMUT. TRIF. INT. LIN. 7TAPS 25kV 40A - CTIL.7.25.40                                                                    ,Un,"24,736513"
"11317","ABRAÇADEIRA TIPO U 3/4""                                                                                                 ",Un,"0,194000"
"11318",ESTECA DE ENROLAMENTO - AER-261-BB-014                                                                                  ,Un,"2,707450"
"11334","CABO DE COBRE FLEXIVEL PRETO 2,5mm 750V                                                                                 ",M    ,"1,476711"
"11342","CHAPA AÇO CARBONO ASTM-A36 (FQ1/2) 12,7 x 2440 x 6000mm                                                                 ",Kg   ,"5,306682"
"11346","CHAPA AÇO CARBONO ASTM-A36 (FQ5/8) 15,8 x 2440 x 6000mm                                                                 ",Kg   ,"5,279609"
"11347","CHAPA AÇO CARBONO ASTM-A36 (FQ3/4) 19,05 x 2440 x 6000mm                                                                ",Kg   ,"5,211682"
"11395",BARRA REDONDA AÇO 38 x 30mm                                                                                             ,Kg   ,"2,500000"
"11396",BARRA REDONDA AÇO 60 x 34mm                                                                                             ,Kg   ,"1,500000"
"114",COMUT. TRIF. INT. LIN. 7TAPS 36kV 40A - CTIL.7.36.40                                                                    ,Un,"24,714095"
"11404",DISPOSITIVO FIXAÇÃO COMUTADOR - ATP-389-PT-002                                                                          ,Un,"1,500000"
"115",CONECTOR SUPERIOR DE LATÃO ESTANHADO                                                                                    ,Un,"16,936389"
"116",DISPOSITIVO P/ ATERRAMENTO - AFL-496-FE-002                                                                             ,Un,"10,611521"
"11696","PERFIL ""I"" 12 x 19 x 1000mm                                                                                             ",M    ,"4,026760"
"117",TERMINAL DE LIGAÇÃO AT 25kV 160A - 221.10-051                                                                           ,Un,"37,576745"
"1171",CAIXA DE COMANDO 200 x 200 x 300mm - ACA-511-PT-001                                                                     ,Un,"90,120000"
"11731",BUCHA DE INSERÇÃO DEADBREAK 25kV 200A - AFL-411-FE-001                                                                  ,Un,"594,927180"
"11733",BUCHA DE AT - POÇO PRÉ MOLDADA EM EPOXI TIPO POÇO 25Kv                                                                  ,Un,"231,533152"
"11736",CORPO ISOLANTE AT 38 kV 160A CANO LONGO 250                                                                             ,Un,"517,765652"
"11749","CORPO ISOLANTE BT INTERNO 3,6 kV 2000A DIN 055 x 125mm                                                                  ",Un,"11,068347"
"11750","CORPO ISOLANTE BT EXTERNO 3,6 kV 2000A  DIN 135 x 125mm                                                                 ",Un,"10,676832"
"11753",TERMINAL DE LIGAÇÃO BT DIN 1000A - 222.50-287                                                                           ,Un,
"11755",TERMINAL DE LIGAÇÃO BT DIN 630A - 222.40-285                                                                            ,Un,"82,199021"
"11758","CONDUTOR BT DIN 3,6 kV 630A (PIRULITO) - 232.26-396                                                                     ",Un,"173,330000"
"11759","CONDUTOR BT DIN 3,6 kV 1000A (PIRULITO) - 232.27-397                                                                    ",Un,
"11761","CONDUTOR BT 1,3 kV 3150A (PIRULITO) - 233.41-471                                                                        ",Un,
"11762",ARRUELA PAPELÃO SUPERIOR BT DIN 630A 76 x 47 x 2mm - AFL-413-FE-058 ITEM 04                                             ,Un,"0,840000"
"11763",ARRUELA PAPELÃO INFERIOR BT DIN 630A 63 x 40 x 2mm - AFL-413-FE-058 ITEM 02                                             ,Un,"0,680000"
"11765",ARRUELA PAPELÃO SUPERIOR BT DIN 1000A 90 x 56 x 3mm                                                                     ,Un,"1,690000"
"11766",ARRUELA PAPELÃO INFERIOR BT DIN 1000A 70 x 45 x 3mm                                                                     ,Un,"1,100000"
"11767","ARRUELA PAPELÃO 1,3 kV BT 800A 44 x 25 x 1,6mm 243.12-434 SU                                                            ",Un,"1,004346"
"11768","ARRUELA PAPELÃO 1,3 kV BT 800A 98 x 67 x 1,6mm 243.12-434 IN                                                            ",Un,"1,707423"
"11770",ESTECA DE ENROLAMENTO - AER-261-BB-015                                                                                  ,Un,"2,678579"
"11771","PORCA LATÃO SEXTAVADA CHATA 27 x 8mm (BT 1,3 kV 400A) 263.11-467-02                                                     ",Un,
"11773","PORCA LATÃO SEXTAVADA 27 x 13mm (BT 1,3 KV 800A) 263.12-468-01                                                          ",Un,"0,500000"
"11774","PORCA LATÃO SEXTAVADA 27 x 13mm (BT 1,3 KV 400A) 263.11-467-01                                                          ",Un,"2,642831"
"11775","PORCA LATÃO SEXTAVADA CHATA 27 X 8mm (BT 1,3 KV 800A)263.12-468-02                                                      ",Un,"0,500000"
"11776",PARAFUSO SEXTAVADO AÇO INOX RI M8 x 30mm                                                                                ,Un,"0,455519"
"11778","PORCA AÇO INOX. SEXT. 17 x 20 x 8mm (BT 1,3 KV 2000/3150A) 263.13-469-04                                                ",Un,
"11798",PARAFUSO SEXTAVADO AÇO POLIDO RI 1/2'' x 1.3/4''                                                                        ,Un,"0,239759"
"11799",PLACA DE DIAGRAMA DOS ACESSÓRIOS - AFL-531-AC-001                                                                       ,Un,"45,548300"
"118","TERMINAL DE LIGAÇÃO BT 1,3kV 160A T2 - 223.11-173                                                                       ",Un,"37,310500"
"11895","MOTOR 0,5 CV 4P - 220/380V - 60HZ                                                                                       ",Un,"603,849600"
"119","TERMINAL DE LIGAÇÃO BT 1,3kV 160A T1 - 223.10-198                                                                       ",Un,"45,103801"
"11902",CALÇO DE BOBINA C/ CANAL 40 x 40 x 110 x 120mm                                                                          ,Un,"1,500000"
"11917",CONJUNTO DE ANÉIS DE PRENSAGEM - APA-282-MP-026                                                                         ,Un,"663,619800"
"11949","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - R135PL-260                                                                  ",Un,"2,506444"
"11950","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - R135PL-261                                                                  ",Un,"18,150000"
"12",ACIONAMENTO INTERNO P/ COMUTADOR 75A                                                                                    ,Un,"105,290417"
