                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            								SUBTOTAL					
								0	DATA	0	DATA	0	
RUA 	PARTILHEIRA 	TPD-PROJETO	Sequência 	Mês do PCP	Quem Pegou 	QUEM ENTREGOU	OBSERVAÇÃO	ESTOQUE INICIAL	DATA DE ENTRADA 	ENTRADA	DATA DE SAIDA	SAÍDA	
1	1	394258	383	OUT									
1	1	394255	147										
1	1	374227	55	NOV	RENAN	EDILAINE							
1	1	360945	448	OUT	MILANE	GEISIANE 							
1	1	386429	424										
1	1	377113	423										
1	2	392699	108										
1	2	396968	123		MILAINE	GEISE							
1	2	392699	82										
1	2	394258	398		MILANE	GEISE							
1	2	394327	91										
1	2	394233	414										
1	3	394233	445		MILANE	EDILAINE							
1	3	366969	65										
1	3	394317	434		RENAN	EDILAINE							
1	4	394258	87										
1	4	394258	99		CLEITON	EDILAINE							
2	1	394255	417/418		RENAN	EDILAINE							
2	1	394248	415										
2	1	374227	55		RENANRENAN	EDILAINE							
2	2	366904	144		RENAN	EDILAINE							
2	2	375641	75										
2	3	394258	135/142	Novembro 	MILANE	GEISE							
2	3	363035	121		MILAINE	GEISE							
2	3	366904	101/102		MILAINE	GEISE							
2	4	363035	111/112										
2	4	393253	115/116										
2	4	390780											
3	1	363034	291/292										
3	1	396663	122		MILAINE	GEISE							
3	1	396663	124		MILAINE	GEISE							
3	1	370336	4										
3	1	381322	6										
3	1	366972	88										
3	1	365455	8										
3	1	394321	12										
3	1	394320	11										
3	1	394318	9										
3	1	370346	105		MILAINE	GEISE							
3	2	393252	427/428	OUTUBRO	RENAN	EDILAINE							
3	2	366012	19										
3	2	392938	20										
3	2	380811	22										
3	2	394316	15										
3	2	394319	16										
3	2	361394	100										
3	3	366564	64		RENAN	EDILAINE							
3	3	361394	136		MILAINE 	GEISE							
3	4	394258	73										
3	4	378994	103		MILAINE	GEISE							
4	1	366944	165										
4	1	366819	167										
4	1	361394	89										
4	1	364535	104		MILAINE	GEISE							
4	1	370348	24										
4	1	361396	74										
4	2	394255	451		RENAN	EDILAINE							
4	2	365731	12										
4	2	361394	117										
4	3	361394	128/129										
4	3	393253	130/131										
4	3	363690	422	OUTUBRO	RENAN	EDILAINE							
4	4	366904	61										
4	4	366624	397										
4	4	378930	56/72		MILAINE	GEISE							
4	4	371942	446										
4	4	394326	441/443										
4	5	378243	360										
4	5	372178	113										
4	5	360007	86		RENAN	EDILAINE							
4	5	360007	98		OK								
5	1	378930	58										
5	1	367785	1										
5	1	384310	81										
5	1	367590	60										
5	1	395478	399										
5	1	360086	433		RENAN	EDILAINE							
5	2	396904	137		RENAN	EDILAINE							
5	2	366904	93										
5	3	378252	413										
5	3	360086	435		RENAN	EDILAINE							
5	3	394258	416		MILANE	GEISE							
5	4	373562											
5	4	362789	14										
5	4	362789	37										
5	4	378256	444										
5	5	378243	53										
5	5	360007	36		OK								
5	5	378241	85		MILAINE	GEISE							
6	2	360007	71		OK								
6	2	366904	78										
6	3	360007	10		OK								
6	3	374258	450		RENAN	EDILAINE							
6	3	392938	449		MILANE	GEISE							
6	3	366904	78										
6	4	363250	178/179										
6	4	394322	447		MILANE	GEISE							
6	4	386830	300										
1	2	364335	79										
1	2	360007	134		OK								
1	2	360007	141		RENAN	EDILAINE							
6	2	360007	53/71		MILAINE	GEISIANE							
1	2	360007	126		OK								
1	3	378241	113		MILAINE	GEISIANE 							
1	3	378241	114		MILAINE	GEISIANE 							
B	3	390447	94		MILAINE	GEISIANE 							
B	3	366904	130		RENAN	EDILAINE							
4	3	394258	116		CLEITON	EDILAINE							
4	3	383324	107		MILAINE	GEISE							
5	2	394316					Aproveitamento						
5	2	363030					Aproveitamento						
5	2	366940					Aproveitamento						
5	2	378315					Aproveitamento						
5	2	378241	113/114		MILAINE	GEISIANE 							
5	2	378227					Aproveitamento						
2	3	394258	135/142		MILANE	GEISIANE							
1	1	394233	147		MILANE								
1	2	394327	91										
5	2	378241	125		MILAINE	GEISIANE 							
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
2	3	394258	127		MILANE	GEISIANE							
