                                              ALMOXARIFADO PAPEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            							SUBTOTAL								
							31,07	DATA	0	DATA	3	28,07			
RUA 	 PARTILHEIRA 	QTD DE DOBRAS 	Tipo	MODELO DO PAPEL 	Tamanho	Espessura  	ESTOQUE INICIAL	DATA DE ENTRADA 	ENTRADA	DATA DE SAIDA	SAÍDA	ESTOQUE REAL	DIF SAÍDA X ENTRADA	PROJETO	OBSERVAÇÃO
B	4		DOBRA	DT 	330-15	0,25	143	46195		46199	3,5	139,5			
B	1		DOBRA	DT 	185-25	0,25	128,5	46195				128,5		378241	
A	5		LISO	DT 	435	0,5	95	46195		46213	12,92	82,08			
B	3		DOBRA	DT 	355-15	0,25	77,5	46195				77,5			
C	4		DOBRA	DT	200-25	0,18	70	46225				70			
E	2		DOBRA	DT 	360-15	0,38	219	46195		46232	150	69			
A	5		LISO	DT 	175	0,5	61,6	46195				61,6			
A	5		LISO	DT 	475	0,5	58,9	46195				58,9			
D	1		DOBRA	DT 	230-17	0,18	83,5	46195		46246	34	49,5			
A	5		LISO	DT 	365	0,5	45,5	46195				45,5			
A	4		LISO	DT 	325	0,38	40	46195				40			
A	5		LISO	DT 	445	0,5	39	46195				39			
A	2		LISO	DT 	220	0,25	37	46195				37			
C	1		DOBRA	DT	535-27	0,38	37	46238				37			
A	5		LISO	DT 	255	0,5	36	46195				36			
A	5		LISO	DT 	420	0,5	34	46195				34			
A	5		LISO	DT 	500	0,5	33,5	46195				33,5			
A	1		LISO	DT	180	0,25	32,5	46218				32,5			
A	2		LISO	DT 	180	0,25	32,4	46195				32,4			
C	2		DOBRA	DT 	445-20	0,25	31,5	46195				31,5			
A	4		LISO	DT 	275	0,38	31,5	46195				31,5			
C	1		DOBRA	DT	360-16	0,38	31	46247				31			
A	2		LISO	DT 	205	0,25	30,5	46195				30,5			
A	5		LISO	DT 	535	0,5	30	46195				30			
A	5		LISO	DT 	455	0,5	29,5	46195				29,5			
A	2		LISO	DT 	210	0,25	30,5	46195		46240	1,14	29,36			
B	2		DOBRA	DT 	200-30	0,25	27,5	46195				27,5			
A	5		LISO	DT 	395	0,5	27,5	46195				27,5			
A	6		LISO	DT 	470	0,5	24,92	46218				24,92			
E	2		DOBRA	DT 	330-36	0,38	24,5	46195			0	24,5			
A	4		LISO	DT 	355	0,38	27	46195		46213	2,7	24,3			
A	5		LISO	DT 	290	0,5	24	46195				24			
A	5		LISO	DT 	330	0,5	28	46195		46210	4,81	23,19			
A	4		LISO	DT 	270	0,38	25,5	46195		46237	2,5	23			
A	4		LISO	DT 	280	0,38	23	46195				23			
A	4		LISO	DT 	175	0,38	23	46195				23			
A	4		LISO	DT 	305	0,38	22,83	46231				22,83			
A	4		LISO	DT 	160	0,38	22,5	46195				22,5			
D	2		DOBRA	DT 	180-15	0,25	26	46195		46198	4	22			
A	4		LISO	DT 	215	0,38	28	46195		46254	6,44	21,56			
A	5		LISO	DT 	290	0,5	21,5	46195				21,5			
C	1		DOBRA	DT	305-20	0,25	21,04	46237				21,04			
D	3		DOBRA	DT 	195-18	0,18	21	46195				21			
A	5		LISO	DT 	375	0,5	21	46195				21			
