Quantidade;DataHoraProducaoAux;cd_Referencia;ds_Prod;qtdItem;dt_LimiteEntrega;cdEnt;Nome;Apelido;dt_Pedido;cdPedido;ds_potencia;PotenciaKVA;nrofasesTrafo;ds_classeTensaoTrafo;dt_criacao;NroRevisao;dt_Revisao;ds_TensaoTrafo;ds_TensaoTrafoSec;ds_TapsTrafo;cd_SglEstado;DiaSemana;SemanaAno;Ano;Mes;ds_TpEnrolamentoNucleo;Ds_tpConstrTrafo;Dia;cd_TpEnrolamentoNucleo;ds_TensaoTrafoDesp;QtdProduzida;TotalJC;TotalAM;TotalEMP;TotalEMPLM;TotalENR;TotalSL;cdEntEmpDesti;SeqPlano;QtdAproduzirTotal;QtdAproduzir;Data_Snapshot
1;2026-07-21;TPD-416454;TRANSFORMADOR 75kVA 24,2kV 3F 380/220V 23100V                                                                           ;20;2026-07-21;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-05-22 18:13:29;68285;75 kVA    ;75.0;TRI;24,2 kV        ;2025-08-13;0;;23.100 / 22.000 / 20.900 V                                            ;380/220V                                                              ;3              ;MT;TER;30;2026;7;EMP                                     ;Selado              ;21;3;23100V                                                                ;0;0;0;1;0;0;0;1;212.0;2;1;2026-08-25
1;2026-07-23;TPD-393237;TRANSFORMADOR 75kVA 15kV 3F 380/220V 13800V                                                                             ;10;2026-07-21;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-05-22 18:13:29;68285;75 kVA    ;75.0;TRI;15kV           ;2024-08-02;1;2024-09-02;13.800 / 13.200 / 12.600 / 12.000 / 11.400 V                          ;380/220V                                                              ;5              ;MT;QUI;30;2026;7;EMP                                     ;Selado              ;23;3;13800V                                                                ;0;0;0;1;0;0;0;1;237.0;1;1;2026-08-25
1;2026-07-24;TPD-378930;TRANSFORMADOR 75kVA 36,2kV 3F 220/127V 33000V                                                                           ;5;2026-07-21;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-05-22 18:13:29;68285;75 kVA    ;75.0;TRI;36,2kV         ;2024-03-04;2;2024-07-18;19.053 V                                                              ;220/127V                                                              ;1              ;MT;SEX;30;2026;7;JC                                      ;Selado              ;24;2;19.053 V                                                              ;0;1;0;0;0;0;0;1;256.0;2;1;2026-08-25
1;2026-07-24;TPD-415514;TRANSFORMADOR 75kVA 15kV 3F 220/127V 13200V                                                                             ;20;2026-07-21;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-05-22 18:13:29;68285;75 kVA    ;75.0;TRI;15kV           ;2025-09-23;0;;13.200 V                                                              ;220/127V                                                              ;1              ;MT;SEX;30;2026;7;EMP                                     ;Selado              ;24;3;13200V                                                                ;0;0;0;1;0;0;0;1;254.0;12;1;2026-08-25
1;2026-07-24;TPD-423673;TRANSFORMADOR 112,5kVA 24,2kV 3F 380/220V 23100V                                                                        ;20;2026-07-21;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-05-22 18:13:29;68285;112,5 kVA ;112.5;TRI;24,2 kV        ;2025-12-10;0;;23.100 / 22.000 / 20.900 V                                            ;380/220V                                                              ;3              ;MT;SEX;30;2026;7;EMP                                     ;Selado              ;24;3;23100V                                                                ;0;0;0;1;0;0;0;1;257.0;1;1;2026-08-25
1;2026-07-27;TPD-386830;TRANSFORMADOR 75kVA 15kV 3F 220/127V 13800V                                                                             ;20;2026-06-30;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-04-23 08:26:38;67222;75 kVA    ;75.0;TRI;15kV           ;2024-06-21;1;2024-08-16;13800/13200/12600 V                                                   ;220/127V                                                              ;3              ;MT;SEG;31;2026;7;EMP                                     ;Selado              ;27;3;13800V                                                                ;0;0;0;1;0;0;0;1;267.0;13;1;2026-08-25
1;2026-07-27;TPD-434448;TRANSFORMADOR 150kVA 15kV 3F 380/220V 14400V                                                                            ;1;2026-08-03;151648;JEL AGROINDUSTRIA E COMERCIO DE PESCADOS LTDA;NATURALE FISH;2026-05-08 09:43:30;67736;150 kVA   ;150.0;TRI;15kV           ;2026-06-16;0;;14400/13800/13200/12600V                                              ;380/220V                                                              ;4              ;MT;SEG;31;2026;7;EMP                                     ;Selado              ;27;3;13800V                                                                ;0;0;0;1;0;0;0;1;275.0;1;1;2026-08-25
2;2026-07-28;TPD-434189;TRANSFORMADOR 150kVA 24,2kV 3F 380/220V 23100V                                                                          ;12;2026-07-14;161623;WEGG CHAPECO EMPREENDIMENTOS IMOBILIARIOS LTDA;WEGG CHAPECO EMPREENDIMENTOS IMOBILIARIOS LTDA;2026-05-15 00:00:00;68031;150 kVA   ;150.0;TRI;24,2 kV        ;2026-06-15;0;;23100/22000/20900V                                                    ;380/220V                                                              ;3              ;PR;TER;31;2026;7;EMP-LM                                  ;Selado              ;28;6;23100V                                                                ;0;0;0;0;2;0;0;1;286.0;10;2;2026-08-25
2;2026-07-29;TPD-434189;TRANSFORMADOR 150kVA 24,2kV 3F 380/220V 23100V                                                                          ;12;2026-07-14;161623;WEGG CHAPECO EMPREENDIMENTOS IMOBILIARIOS LTDA;WEGG CHAPECO EMPREENDIMENTOS IMOBILIARIOS LTDA;2026-05-15 00:00:00;68031;150 kVA   ;150.0;TRI;24,2 kV        ;2026-06-15;0;;23100/22000/20900V                                                    ;380/220V                                                              ;3              ;PR;QUA;31;2026;7;EMP-LM                                  ;Selado              ;29;6;23100V                                                                ;0;0;0;0;2;0;0;1;306.0;10;2;2026-08-25
1;2026-07-30;TPD-420719;TRANSFORMADOR 25kVA 36,2kV 1F 254/127V 21651V                                                                           ;20;2026-07-21;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-05-22 18:13:29;68285;25 kVA    ;25.0;MON;36,2kV         ;2025-10-23;0;;21.651 / 20.785 / 19.919 / 19.053 / 18.187 V                          ;254/127V                                                              ;5              ;MT;QUI;31;2026;7;JC                                      ;Selado              ;30;2;19919V                                                                ;0;1;0;0;0;0;0;1;316.0;1;1;2026-08-25
